region,trust,att1,att2,att_o,o4_1,o4_2,o4_o,total_attendances,total_over_4hrs,pct_within_4hrs,month
North West ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7845,0,3322,4141,0,149,11167,4290,61.6,March 2025
North West ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17832,0,7558,6436,0,147,25390,6583,74.1,March 2025
North West ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6446,0,0,1301,0,0,6446,1301,79.8,March 2025
South West ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8762,0,0,3632,0,0,8762,3632,58.5,March 2025
London,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13687,2482,15017,6204,385,151,31186,6740,78.4,March 2025
South West ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,12632,0,4261,5510,0,23,16893,5533,67.2,March 2025
South East ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,11155,838,3281,4645,13,71,15274,4729,69.0,March 2025
South East ,MEDWAY NHS FOUNDATION TRUST,9157,0,6942,3152,0,747,16099,3899,75.8,March 2025
North West ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",6924,0,5866,3509,0,109,12790,3618,71.7,March 2025
London,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,11405,328,1497,3371,0,108,13230,3479,73.7,March 2025
North West ,STOCKPORT NHS FOUNDATION TRUST,8213,0,1240,3239,0,81,9453,3320,64.9,March 2025
London,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,6236,0,6892,3123,0,56,13128,3179,75.8,March 2025
London,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10247,727,7130,3568,12,199,18104,3779,79.1,March 2025
Total,TOTAL,1418235,50646,830779,558656,2283,27899,2299660,588838,74.4,March 2025
