region,trust,att1,att2,att_o,o4_1,o4_2,o4_o,total_attendances,total_over_4hrs,pct_within_4hrs,month
South East ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,5984,1053,2842,1705,0,5,9879,1710,82.7,March 2021
North East And Yorkshire ,MID YORKSHIRE HOSPITALS NHS TRUST,15658,0,3300,0,0,0,18958,0,100.0,March 2021
East Of England ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7920,0,2448,0,0,0,10368,0,100.0,March 2021
Midlands ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,6817,0,0,0,0,0,6817,0,100.0,March 2021
Midlands ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4789,0,0,522,0,0,4789,522,89.1,March 2021
Midlands ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,8158,0,3461,648,0,48,11619,696,94.0,March 2021
North East And Yorkshire ,THE ROTHERHAM NHS FOUNDATION TRUST,6670,0,0,0,0,0,6670,0,100.0,March 2021
Midlands ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,12500,383,6318,3456,0,62,19201,3518,81.7,March 2021
Midlands ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,10389,0,2936,2619,0,1,13325,2620,80.3,March 2021
Midlands ,WALSALL HEALTHCARE NHS TRUST,6278,0,3098,611,0,0,9376,611,93.5,March 2021
East Of England ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8093,0,0,2390,0,0,8093,2390,70.5,March 2021
East Of England ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,12703,0,0,3135,0,0,12703,3135,75.3,March 2021
North East And Yorkshire ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,7329,0,7690,581,0,18,15019,599,96.0,March 2021
North East And Yorkshire ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,11461,0,2982,2269,0,0,14443,2269,84.3,March 2021
London,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",10876,543,8918,5188,0,546,20337,5734,71.8,March 2021
North East And Yorkshire ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,11366,0,343,3250,0,3,11709,3253,72.2,March 2021
South West ,NORTH BRISTOL NHS TRUST,6598,0,0,1301,0,0,6598,1301,80.3,March 2021
South West ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,5522,0,497,979,0,5,6019,984,83.7,March 2021
South West ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,4608,0,3206,918,0,34,7814,952,87.8,March 2021
Midlands ,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,5272,0,0,609,0,0,5272,609,88.4,March 2021
London,LEWISHAM AND GREENWICH NHS TRUST,11049,0,8084,1295,0,128,19133,1423,92.6,March 2021
Midlands ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,13177,1656,183,0,0,0,15016,0,100.0,March 2021
London,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,13554,0,7207,0,0,0,20761,0,100.0,March 2021
North East And Yorkshire ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7500,0,0,1420,0,0,7500,1420,81.1,March 2021
Midlands ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,7231,1533,6182,2141,6,99,14946,2246,85.0,March 2021
East Of England ,WEST SUFFOLK NHS FOUNDATION TRUST,5411,0,307,0,0,0,5718,0,100.0,March 2021
North West ,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7826,0,1364,1402,0,0,9190,1402,84.7,March 2021
South East ,ISLE OF WIGHT NHS TRUST,2438,0,1511,153,0,0,3949,153,96.1,March 2021
London,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,4594,0,4083,1085,0,66,8677,1151,86.7,March 2021
East Of England ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",5502,0,0,610,0,0,5502,610,88.9,March 2021
North West ,EAST CHESHIRE NHS TRUST,3573,0,0,787,0,0,3573,787,78.0,March 2021
South East ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,12738,0,1834,491,0,5,14572,496,96.6,March 2021
North West ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,18277,2623,4419,4277,112,104,25319,4493,82.3,March 2021
Midlands ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,28578,0,598,9030,0,0,29176,9030,69.0,March 2021
North East And Yorkshire ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,9611,0,0,2810,0,0,9611,2810,70.8,March 2021
North West ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",8124,0,2983,1284,0,3,11107,1287,88.4,March 2021
North East And Yorkshire ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,3801,0,478,696,0,1,4279,697,83.7,March 2021
North East And Yorkshire ,LEEDS TEACHING HOSPITALS NHS TRUST,16703,0,4474,4657,0,0,21177,4657,78.0,March 2021
Midlands ,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,8343,0,7290,3973,0,408,15633,4381,72.0,March 2021
South East ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,9074,0,281,1007,0,0,9355,1007,89.2,March 2021
North East And Yorkshire ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,2896,0,8035,0,0,0,10931,0,100.0,March 2021
Midlands ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,13564,0,10857,4173,0,145,24421,4318,82.3,March 2021
Midlands ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,16485,1417,0,5001,49,0,17902,5050,71.8,March 2021
East Of England ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,13389,0,4020,0,0,0,17409,0,100.0,March 2021
North East And Yorkshire ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,9946,1277,3841,1035,37,0,15064,1072,92.9,March 2021
East Of England ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,6289,0,3353,935,0,0,9642,935,90.3,March 2021
South West ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,7907,111,2914,0,0,0,10932,0,100.0,March 2021
North East And Yorkshire ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,10978,0,0,1602,0,0,10978,1602,85.4,March 2021
North West ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15720,304,938,3116,0,0,16962,3116,81.6,March 2021
North West ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,4902,0,0,227,0,0,4902,227,95.4,March 2021
London,BARTS HEALTH NHS TRUST,20513,1036,12684,4556,1,105,34233,4662,86.4,March 2021
North West ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5200,0,651,493,0,1,5851,494,91.6,March 2021
East Of England ,EAST AND NORTH HERTFORDSHIRE NHS TRUST,7942,0,4013,1767,0,0,11955,1767,85.2,March 2021
East Of England ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9201,0,4355,3248,0,0,13556,3248,76.0,March 2021
London,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,9725,0,14138,925,0,164,23863,1089,95.4,March 2021
North West ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7012,0,1533,1252,0,27,8545,1279,85.0,March 2021
